title,author,length,adventurous,challenging,dark,emotional,funny,hopeful,informative,inspiring,lighthearted,mysterious,reflective,relaxing,sad,tense,paceslow,pacemedium,pacefast
Sorcery of Thorns,Margaret Rogerson,456,95,10,25,38,35,19,0,11,17,60,3,4,6,24,25,67,7
Green Rider,Kristen Britain,471,98,9,18,17,5,18,0,15,8,39,1,1,2,30,20,68,11
The Bone Shard Daughter,Andrea Stewart,448,92,14,49,26,6,11,0,5,1,72,5,0,7,37,16,70,13
Godkiller,Hannah Kaner,300,97,14,45,42,13,11,0,7,2,38,4,0,11,43,21,65,13
The Blue Sword,Robin McKinley,248,97,7,1,18,8,29,0,28,16,16,6,5,0,12,16,57,26
Jonathan Strange & Mr Norrell,Susanna Clarke,1006,70,28,41,16,35,4,6,6,9,82,19,5,8,15,1,19,78
The Lies of Locke Lamora,Scott Lynch,499,95,11,58,34,60,3,0,3,9,46,2,0,13,50,21,64,14
American Gods,Neil Gaiman,522,82,22,65,21,24,5,5,5,2,74,28,1,9,28,6,48,45
The Fifth Season,N.K. Jemisin,498,78,41,76,52,3,3,1,4,0,59,16,0,29,51,12,71,16
Assassin's Apprentice,Robin Hobb,435,90,17,35,56,5,7,1,6,2,41,15,2,26,37,5,43,50
Gardens of the Moon,Steven Erikson,666,84,66,75,13,11,3,1,4,0,62,10,0,6,44,6,49,44
Harry Potter and the Sorcerer's Stone,J.K. Rowling,309,96,7,7,18,44,24,1,19,50,49,3,15,3,11,53,43,2
The Gunslinger,Stephen King,231,79,24,78,13,1,1,0,0,0,74,13,0,11,38,16,48,35
The Blade Itself,Joe Abercrombie,536,83,13,85,10,42,0,0,1,2,37,4,0,4,44,11,58,29
Under Heaven,Guy Gavriel Kay,573,82,17,14,53,0,11,14,19,1,24,59,7,19,28,2,47,50
The Black Company,Glen Cook,319,81,18,92,8,18,1,0,0,1,37,7,0,8,38,28,57,13
The Way of Shadows,Brent Weeks,677,86,17,90,28,6,4,0,3,1,45,3,0,17,55,27,60,12
It,Stephen King,1120,59,30,95,47,21,11,0,6,1,58,13,0,31,76,5,36,58
Weaveworld,Clive Barker,721,84,28,78,25,5,17,0,7,1,66,19,1,14,46,6,62,30
The Goblin Emperor,Katherine Addison,446,27,20,8,56,12,62,2,25,11,23,39,10,9,16,3,52,43
The Sudden Appearance of Hope,Claire North,476,44,31,48,35,1,5,7,9,0,58,46,0,17,44,9,44,45
Blackwing,Ed McDonald,368,74,9,95,16,9,0,0,0,0,47,1,0,12,50,31,62,5
Foundryside,Robert Jackson Bennett,503,96,14,51,21,26,7,1,5,2,59,5,0,5,45,31,62,6
The Rage of Dragons,Evan Winter,544,85,29,77,50,2,5,0,10,0,8,4,0,22,71,47,44,8
Dragonflight,Anne McCaffrey,320,98,9,4,12,7,15,1,12,8,24,1,2,1,17,29,55,14
Redwall,Brian Jacques,352,98,2,15,21,28,38,0,30,40,9,2,8,5,18,30,59,9
The Darkness That Comes Before,R. Scott Bakker,608,43,54,94,13,1,0,2,1,0,57,35,0,15,43,33,66,0
Eragon,Christopher Paolini,503,99,12,13,29,9,18,0,16,10,28,4,3,7,26,16,63,20
The Princess Bride,William Goldman,456,96,3,4,18,84,19,0,10,64,9,3,7,2,10,51,41,6
Graceling,Kristin Cashore,471,98,11,15,43,16,21,0,15,10,26,6,2,6,29,25,63,10
Blood Song,Anthony Ryan,591,94,20,74,33,4,3,0,5,0,54,8,1,16,42,16,58,24
Throne of Glass,Sarah J. Maas,406,94,20,38,30,15,12,0,10,4,60,2,1,6,45,24,66,9
The Last Wish,Andrzej Sapkowski,360,97,8,50,11,36,2,1,3,8,35,0,3,2,25,36,55,7
Tigana,Guy Gavriel Kay,688,87,23,28,61,3,32,0,20,1,22,40,1,29,26,4,53,42
Malice,John Gwynne,672,96,21,55,44,5,8,1,8,0,37,2,0,17,60,31,58,10
The City of Brass,S.A. Chakraborty,532,97,18,34,39,9,5,3,5,1,56,4,0,7,45,16,67,16
The Will of the Many,James Islington,630,93,32,53,36,8,5,1,7,0,75,8,0,13,67,10,65,23
The House in the Cerulean Sea,TJ Klune,398,53,4,1,67,61,78,1,57,59,11,27,17,5,1,8,71,19
The Sword of Kaigen,M.L. Wang,651,69,34,58,88,2,27,1,27,1,14,34,0,59,53,13,72,13
Fourth Wing,Rebecca Yarros,517,97,24,29,56,26,12,1,14,5,32,3,1,13,54,43,52,3
The Warded Man,Peter V. Brett,416,92,14,80,28,2,10,1,7,5,36,5,0,17,49,23,62,14
